source,tibschol_refs,zotero_refs,xml_id,status,location,xml_content
1_013_02_gtsang_phags_pa_bsdud_bsdus_don_MW1PD89051_E95CE1.xml,1_013_02,,ex13022024-10-2410-25-04,reviewed,1a1,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex13022024-10-2410-25-04"" status=""reviewed""><milestone n=""Cover page"" unit=""section""/>
         <pb n=""1a""/><lb n=""1a1""/><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4553""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:3693"">'phags pa bsdud pa</rs>'i bsdus don bzhugs</rs> s+ho ||</seg></TEI>"
1_013_02_gtsang_phags_pa_bsdud_bsdus_don_MW1PD89051_E95CE1.xml,1_013_02,,ex13022024-10-2410-25-042,reviewed,1b1 - 1b2,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""1b1""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex13022024-10-2410-25-042"" status=""reviewed""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:3693"">shes rab kyi pha rol du phyin pa bsdud pa tshigs su bcad pa</rs> la spyi don 3 ste | <note type=""gloss"">de nas</note> mdo 'byung <lb n=""1b2""/>pa'i rgyu phun sum 'tshogs pa dang | gsungs pa mdo'i rang bzhin phun sum 'tshogs pa dang | <note type=""gloss"">ming ni</note> rang bzhin can gyi mtshan phun sum 'tshogs pa'o ||</seg></TEI>"
1_013_02_gtsang_phags_pa_bsdud_bsdus_don_MW1PD89051_E95CE1.xml,1_013_02,,ex13022024-09-1315-49-37,reviewed,8a4 - 8a5,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""8a4""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex13022024-09-1315-49-37"" status=""reviewed"" ana=""corpusmd:colophon""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4553""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:3693"">shes rab kyi pha rol du phyin pa mdo rkyang du <lb n=""8a5""/>bshad pa</rs>'i don yang dag par bsdus pa</rs>'o || <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3839"">shag kya'i dge slong brtson 'grus seng ge</rs>s sbyar ba'o || <note type=""gloss"">khyus <expan>btugs so</expan> ||</note> rdzogs s+ho || <note type=""gloss""><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:5880"">thugs rje rgyal</rs> gyis bris <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:5930"">lha rje chos rin</rs> thugs</note> dgyes par zhu'o || ||</seg></TEI>"
1_003_05_C_Gro_brgyad stong grel chen rnam bshad.xml,1_003_05,,ex3052025-01-1013-29-14,unreviewed,,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex3052025-01-1013-29-14"" status=""unreviewed"">  <pb n=""1a""/> <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3806"">dpal gro lung ba chen po</rs>s mdzad pa'i <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4464"">'grel chen gyi rnam bshad</rs> <abbr>bzhugs s+ho</abbr> ||</seg></TEI>"
1_003_05_C_Gro_brgyad stong grel chen rnam bshad.xml,1_003_05,,ex3052025-01-1013-159,unreviewed,Gro lung chos skor 477,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex3052025-01-1013-159"" status=""unreviewed"">
        || <lb n=""Gro lung chos skor 477""/>oM swatiḥ 
        <l>srid pa gsum gyi brgyan du mdzes (d)e'i ||</l> 
        <l>yid (y)ong (snon) kun ldan d(p)u(ng 'di)||</l>
         <l><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:7036"">bkra shis <abbr>dpal ldan</abbr> 'od zer</rs> las 'khrungs || </l>
         <l>chos kyi s(py)an mnga' rnams kyi gzigs dang ||</l></seg></TEI>"
1_003_05_C_Gro_brgyad stong grel chen rnam bshad.xml,1_003_05,,ex30520250110201,unreviewed,84a5 - 84a7,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""84a5""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex30520250110201"" status=""unreviewed"" ana=""corpusmd:colophon"">
         <milestone unit=""section"" n=""7""/>
        <lg> <l>skye ba kun du bdag gi blo gros ni ||</l>
         <l>dpag med yon tan tshogs kyi 'byung gnas kyi ||</l>
         <l><lb n=""84a7""/> legs gsungs 'di' cung zad ngal byas pas || </l>
         <l>'gro kun srid mtsho che las myur sgrol shog ||</l>||</lg></seg></TEI>"
1_003_05_C_Gro_brgyad stong grel chen rnam bshad.xml,1_003_05,,ex3052023-11-241,unreviewed,84a7 - 84b1,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""84a7""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex3052023-11-241"" status=""unreviewed"" ana=""corpusmd:colophon"">
       <milestone unit=""section"" n=""Colophon (84a7–84b1""/>don gyi gnas rnams ni phal cher <rs type=""person"" ana=""corpusmd:unnamed_reference"">slob dpon bdag nyid chen po</rs>s<!--probably rNgog Blo ldan shes rab (db:3786)--> sbyar ba | 'di nyid kyi don bsdus ba dang | 'grel ba rung ba'i bshad sbyar gyi rjes su 'brangs te rtogs par bya'o || 
       'dir ni <rs type=""person"" ana=""corpusmd:unnamed_reference"" ref=""db:3806"">kho bo</rs>s skyes bu dam pa de'i gsung gi bdud rtsi'i zer ma la gces spras byas te | <lb n=""84b1""/> tshig gi cha ji tsam rnyed pa de brjed byang du bkod pa yin no ||
       <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4464"">'phags pa brgyad stong pa'i 'grel pa</rs>'i don cung zad | <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3806"">dge slong blo gros 'byung gnas</rs> kyi brjed byang du bkod pa yin no ||||</seg></TEI>"
1_003_05_C_Gro_brgyad stong grel chen rnam bshad.xml,1_003_05,,ex3052023-11-2489,unreviewed,84b1 - 84b2,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""84b1""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex3052023-11-2489"" status=""unreviewed"">
        <milestone unit=""section"" n=""Post-colophon verses (84b1–84b3)""/>
         swa ti ḥ
         <milestone unit=""section"" n=""1""/>
      <lg> <l>rgyal yum sbus pa dum kun mchog gyur kyang || </l>
        <l> don rgyas tshig nyung shin tu rtogs bka' ste || </l>
       <l>  de don 'grel la dbang du gyur ba yi || </l>
        <l> <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3712"">rgyal sras bzang po</rs>s <lb n=""84b2""/> <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:3709"">rgyan gyi snang ba</rs> mdzad || </l></lg>

          <milestone unit=""section"" n=""2""/>
        <lg> <l>des kyang mi gang la rjes 'jug gdul bya la || </l>
         <l>rgya bod 'dran<anchor xml:id=""a7""/> zla bral ba'i <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3806"">gro lung ba</rs>s ||</l> 
         <l><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4464""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:3709"">rgyan gyi snang ba</rs>'i rnam bshad </rs> phul byung mdzad ||</l>
         <l>'di la ma rten 'grel chen phyogs mthong med ||</l></lg> </seg></TEI>"
1_003_05_C_Gro_brgyad stong grel chen rnam bshad.xml,1_003_05,,ex30520250110213,unreviewed,84b2 - 84b3,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""84b2""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex30520250110213"" status=""unreviewed"">
         <milestone unit=""section"" n=""3""/>
         <lg><l>don 'di mthong nas <rs type=""person"" ana=""corpusmd:unnamed_reference"" ref=""db:4593"">mkha' spyod dbang po nga</rs>s ||</l> 
        <l> bka' brgya phrag mang po dang du blangs ||</l> 
         <l><rs type=""person"" ana=""corpusmd:unnamed_reference"" ref=""db:4593"">dad ldan rngor bsam bza' mi rnams</rs> dang ni ||</l> 
         <l><lb n=""84b3""/> <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:7036"">dpal<anchor xml:id=""a8""/> ldan bkra shis mgon </rs>gyis sbyin bdag byas ||</l></lg> </seg></TEI>"
3_061_01.xml,3_061_01,,ex61012023-10-25,unreviewed,14b1,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex61012023-10-25"" status=""unreviewed"" ana=""corpusmd:colophon""><milestone unit=""section"" n=""Colophon (ku_14a7-14b2 – pp. 33:7-34 :2 – pdf 39-40)] ""/>
                  
            <rs type=""person"" ana=""corpusmd:unnamed_reference"">bla ma rnams</rs> kyi bka' drin las <pb n=""[14a8]""/> cung zad thos pa dang thob pa rnams| dran par bya zhing bskul ba'i bsam pa rdzogs par bya ba'i phyir yi ger bris pa'o | |<rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4052"">shAkya'i btsun pa smon lam <lb n=""14b1""/> tshul khrims</rs> kyis [kyi] thob yig go |</seg></TEI>"
